Symbol,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Industry,DPS,DY
AKAM,-0.025537873,-0.076238867,0.195151341,0.022155099,0.038423587,0.033748957,-0.084567946,0.098682312,-0.070395008,-0.031552378,-0.119316511,-0.052778675,-0.086443324,-0.133194031,0.183033805,0.029646081,-0.082418535,0.070405959,0.024734297,-0.096549276,0.086483338,-0.034790527,0.311002045,-0.039873384,InformationTechnology,0,0
ALK,0.012366563,0.135709629,-0.059188157,0.039748565,-0.032033867,0.012049158,-0.003248752,0.17569453,-0.009250055,0.061314413,-0.040276892,0.048373784,0.009782948,-0.125574402,0.053722686,0.109878143,-0.141306987,-0.053238266,-0.122138522,0.153199496,0.008807421,-0.02472967,0.096568427,0.14345502,Industrials,1.1,1.23
ALB,0.023231458,-0.197405668,0.172192318,-0.060849151,0.129825939,0.007537692,-0.076774252,-0.019359526,-0.165867174,-0.017770064,0.213605466,0.000747406,0.05194228,-0.060167823,0.068009192,0.142831496,0.034881972,0.18651741,0.014193291,0.061278625,-0.049898989,0.073252882,-0.022692655,0.050628317,Materials,1.22,1.35
AGN,-0.048778618,0.035468726,0.093119138,0.021485483,-0.049593476,0.084670912,-0.010918833,0.091247623,-0.082772171,-0.10512278,0.134873637,0.017570636,-0.00442835,-0.089824022,0.019969736,-0.076109018,-0.192030747,0.088612866,-0.019766719,0.094595185,-0.072781199,-0.018035282,-0.092787965,-0.070067957,HealthCare,2.8,1.46
LNT,0.056465726,0.041150138,-0.073021447,-0.009433892,-0.031610935,0.013725763,-0.058401248,0.075431936,-0.078686396,0.032115865,0.018337359,0.019823743,0.037547835,0.056149976,0.039944956,0.093156691,-0.042465359,0.050765863,0.071524976,0.02134383,-0.057142801,0.009486217,0.001065734,-0.055979003,Utilities,1.18,3.19
ALXN,-0.05064133,-0.009674075,-0.015662573,-0.039197162,-0.023485326,-0.031850146,0.103332571,0.092216616,-0.127886952,-0.09175912,0.125391656,0.013863648,0.068986762,-0.234967271,-0.035153774,-0.011221605,0.000430958,0.083429028,-0.226242501,0.101404623,-0.021306414,-0.026378516,0.064958372,-0.060613057,HealthCare,0,0
ALLE,0.03142048,-0.026144966,0.068876146,0.06140523,-0.000326927,0.021095636,-0.035270506,0.051213878,-0.057102175,-0.031114619,0.130246239,0.031302764,-0.017672778,-0.081310593,0.040290604,0.013176918,0.027311272,0.033460646,0.028280737,0.042632846,-0.016162435,-0.030708424,-0.073574281,0.048089035,Industrials,0.48,0.73
ADS,0.000629632,0.009718648,-0.035730282,0.063695986,0.003578085,0.002421718,-0.020434224,-0.057888518,-0.064899729,0.006959891,0.148003672,-0.03518207,-0.035837612,-0.27761511,0.051754432,0.046970897,-0.075863628,0.092863118,-0.118232186,0.182217226,-0.116742898,0.048636242,-0.046893246,0.121745537,InformationTechnology,2.08,0.9
ALL,0.030814283,-0.006547946,0.015891455,0.008073645,-0.021216674,-0.029269866,-0.036393233,0.062894884,-0.150308886,-0.000686322,0.062500024,0.019078456,-0.010675571,-0.023997475,0.052626631,0.061613651,-0.034436687,0.037817017,0.041232461,-0.023159332,0.01411829,0.003190212,-0.018502427,0.034466036,Financials,1.32,1.82
GOOGL,-0.033547103,0.01298386,0.046656158,-0.014094508,-0.010690449,-0.00628681,-0.009682441,0.217502457,-0.014722423,-0.014587404,0.155113838,0.03452713,0.01987289,-0.02141365,-0.057962838,0.063690436,-0.072119566,0.057877,-0.060519394,0.124813433,-0.001882947,0.017990786,0.007263172,-0.042005208,InformationTechnology,0,0
GOOG,-0.028477535,0.015425568,0.044675515,-0.018624712,-0.019456873,-0.009733208,-0.021799957,0.201917298,-0.011764494,-0.015899744,0.168288383,0.044723594,0.021923013,-0.020991452,-0.060811618,0.06761539,-0.069722802,0.061629645,-0.059288855,0.110807693,-0.002263284,0.013349834,0.009327278,-0.033777756,InformationTechnology,0,0
MO,-0.009510545,0.077734925,0.06007531,-0.102449793,0.000599806,0.022977025,-0.034526586,0.11183816,-0.014711309,0.026188328,0.111580922,-0.047461606,0.020629508,0.049819603,0.007527403,0.02691307,0.000797986,0.014830171,0.092932962,-0.018271462,-0.02378135,-0.034164074,0.0457062,-0.033121641,ConsumerStaples,2.44,3.68
AMZN,-0.083540065,0.14235538,0.072292909,-0.021201594,0.133512476,0.017663265,0.011322566,0.235112601,-0.043383396,-0.001949736,0.222723643,0.062150443,0.01668175,-0.131515503,-0.058739319,0.074422634,0.111094283,0.09581702,-0.009919871,0.060353265,0.013639745,0.088603187,-0.056717334,-0.049694867,ConsumerDiscretionary,0,0
AEE,0.0802848,-0.018426235,-0.063383367,0.005111723,-0.029857811,-0.017342515,-0.053269255,0.090233625,-0.019230844,0.060418959,0.033356948,0.001831519,-0.002328188,0.039093177,0.045191564,0.07675721,-0.041916086,0.032291613,0.090602149,-0.021276644,-0.057589622,0.003733877,0.015656737,-0.016616637,Utilities,1.76,3.47
AAL,0.105089705,-0.084840551,-0.022065146,0.101878873,-0.08319445,-0.122592747,-0.057351837,0.004005949,-0.025662099,-0.003848107,0.190316709,-0.105387738,0.026417852,-0.079338749,0.054420824,0.000243868,-0.154108787,-0.077479055,-0.112817266,0.253973814,0.02559586,0.008539935,0.108986556,0.146730151,Industrials,0.4,0.81
